run num,is warmup,timing
1,no,0.5874468000001798s
2,no,0.6517077000007703s
3,no,0.589818299999024s
4,no,0.5998254000005545s
5,no,0.5753210000002582s
6,no,0.6390626999982487s
7,no,0.596755700000358s
8,no,0.6249583999997412s
