run num,is warmup,timing
1,no,0.28569529999913357s
2,no,0.2825721000008343s
3,no,0.28399630000058096s
4,no,0.2848037000003387s
5,no,0.2826568000000407s
6,no,0.2852188000015303s
7,no,0.28661380000085046s
8,no,0.2816050000001269s
9,no,0.2858023000007961s
10,no,0.3152427000004536s
11,no,0.2894083999999566s
12,no,0.3417831999995542s
13,no,0.28755269999965094s
14,no,0.2971830999995291s
15,no,0.29118019999987155s
16,no,0.2874405000002298s
